BRIDGE NO.,LATITUDE,LONGITUDE,VINTAGE,Bridge Length,Spans,SKEW ANGLE,PRIMARY FUNCTION,Pier Type,Support Description,BRIDGE PRIMARY MATERIAL,Superstructure Type,ROAD CLASS,M Truck,Tandem,Triple Axle,Quad Axle,484 Quad Axle,T44 (%),HLP 320 (%),HLP 400 (%),MS 1600 (%),OVERALL WIDTH,WIDTH BETWEEN KERB,NO. OF TRAFFIC LANES,NO. OF FOOTPATHS,Earthquake design,Longest Span,Structure Type,HAZUS_CLASS,K3d,Ishape,Kskew,road
0302,-32.03923,116.80711,1939-01-01,7.7,1,0,Road Bridge,Driven Timber Pile,Simply Suported,Timber,Round Timber,3,10.0,18.0,26.1,31.9,36.0,100,88,78,0.0,8.88,8.26,2,0,False,7.7,Timber,HWB3,1.0,1.0,1.0,Route 120
0303,-32.054485,116.815315,1935-01-01,14.7,2,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,0.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.8,8.2,2,0,False,7.35,Timber,HWB24,1.2,0.0,1.0,Route 120
0304,-32.05603,116.815735,1935-01-01,4.9,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.81,8.27,2,0,False,4.9,Timber,HWB3,1.0,1.0,1.0,Route 120
0305,-32.074959,116.8339,1944-01-01,111.57,18,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,0.0,9.07,8.62,2,0,False,6.198333333333333,Timber,HWB24,1.011764705882353,0.0,1.0,Route 120
0361,-31.623991,116.563225,1969-01-01,18.64,3,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,0,87.0,8.8,8.2,2,0,False,6.213333333333334,Timber,HWB24,1.1,0.0,1.0,Route 120
0369,-31.617411,116.41568,1934-12-30,18.4,3,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,17.8,17.5,22.5,27.7,32.8,91,96,57,0.0,7.56,7.26,2,0,False,6.133333333333333,Timber,HWB24,1.1,0.0,1.0,Route 50
0574,-31.882771,116.510895,1934-12-30,23.95,3,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,0.0,8.37,7.75,2,0,False,7.983333333333333,Timber,HWB24,1.1,0.0,1.0,Great Southern Hwy
0576,-31.910091,116.665176,1936-01-01,7.87,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,10.0,18.0,27.0,34.8,36.0,100,0,0,0.0,8.43,8.13,2,0,False,7.87,Timber,HWB3,1.0,1.0,1.0,Great Southern Hwy
0579,-31.89606,116.78059,1935-01-01,6.6,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,100.0,8.4,8.09,2,0,False,6.6,Timber,HWB3,1.0,1.0,1.0,York Merredin
0580,-31.90275,116.787849,1935-01-01,6.0,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,95,0.0,8.4,8.1,2,0,False,6.0,Timber,HWB3,1.0,1.0,1.0,York Merredin
0589,-31.945627,117.010056,1970-01-01,18.3,3,0,Road Bridge,RC columns,Continuous,Reinforced Concrete,Solid Flat Slab,3,0.0,27.2,35.1,49.3,49.3,100,98,0,0.0,8.55,7.93,2,0,False,6.1000000000000005,Concrete,HWB24,1.1,0.0,1.0,York Merredin
0592,-31.978849,117.085045,1936-01-01,20.83,3,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,35.3,36.0,100,87,0,0.0,8.38,8.1,2,0,False,6.9433333333333325,Timber,HWB24,1.1,0.0,1.0,York Merredin
